"Name","Ticker","NAVTicker","Class","Raw","TickerStart","TickerEnd","ExpenseRatio","ID","...10"
"AllianceBernstein Nat Mu ","AFB","XAFBX","GML","AllianceBernstein Nat Mu (AFB)",26,30,0.0178,74590,"AFB;NYSE"
"BlackRock Inv Qual Muni ","BKN","XBKNX","GML","BlackRock Inv Qual Muni (BKN)",25,29,0.0184,3458,"BKN;NYSE"
"BlackRock L-T Muni Adv ","BTA","XBTAX","GML","BlackRock L-T Muni Adv (BTA)",24,28,0.02,107601,"BTA;NYSE"
"BlackRock Muni 2030 Tgt ","BTT","XBTTX","GML","BlackRock Muni 2030 Tgt (BTT)",25,29,0.0149,200179,"BTT;NYSE"
"BlackRock Muni Bd Tr ","BBK","XBBKX","GML","BlackRock Muni Bd Tr (BBK)",22,26,0.0231,77434,"BBK;NYSE"
"BlackRock Muni Inc ","BFK","XBFKX","GML","BlackRock Muni Inc (BFK)",20,24,0.0198,69674,"BFK;NYSE"
"BlackRock Muni Inc II ","BLE","XBLEX","GML","BlackRock Muni Inc II (BLE)",23,27,0.0202,78691,"BLE;NYSE"
"BlackRock Muni Inc Inv ","BBF","XBBFX","GML","BlackRock Muni Inc Inv (BBF)",24,28,0.0216,69673,"BBF;NYSE"
"BlackRock Muni Inc Qly ","BYM","XBYMX","GML","BlackRock Muni Inc Qly (BYM)",24,28,0.0193,82952,"BYM;NYSE"
"BlackRock Muni Inv Qly ","BAF","XBAFX","GML","BlackRock Muni Inv Qly (BAF)",24,28,0.0206,82954,"BAF;NYSE"
"BlackRock MuniEnhanced ","MEN","XMENX","GML","BlackRock MuniEnhanced (MEN)",24,28,0.0173,3014,"MEN;NYSE"
"BlackRock MuniHds II ","MUH","XMUHX","GML","BlackRock MuniHds II (MUH)",22,26,0.0183,33611,"MUH;NYSE"
"BlackRock MuniHds Inv Ql ","MFL","XMFLX","GML","BlackRock MuniHds Inv Ql (MFL)",26,30,0.0208,30567,"MFL;NYSE"
"BlackRock MuniHds Qly ","MUS","XMUSX","GML","BlackRock MuniHds Qly (MUS)",23,27,0.0191,34682,"MUS;NYSE"
"BlackRock MuniHds Qly II ","MUE","XMUEX","GML","BlackRock MuniHds Qly II (MUE)",26,30,0.0192,40985,"MUE;NYSE"
"BlackRock MuniHoldings ","MHD","XMHDX","GML","BlackRock MuniHoldings (MHD)",24,28,0.0187,25899,"MHD;NYSE"
"BlackRock MuniVest ","MVF","XMVFX","GML","BlackRock MuniVest (MVF)",20,24,0.0192,2886,"MVF;NYSE"
"BlackRock MuniVest II ","MVT","XMVTX","GML","BlackRock MuniVest II (MVT)",23,27,0.0187,3528,"MVT;NYSE"
"BlackRock MuniYield ","MYD","XMYDX","GML","BlackRock MuniYield (MYD)",21,25,0.0175,3309,"MYD;NYSE"
"BlackRock MuniYld Inv Ql ","MFT","XMFTX","GML","BlackRock MuniYld Inv Ql (MFT)",26,30,0.0207,3434,"MFT;NYSE"
"BlackRock MuniYld Ql ","MQY","XMQYX","GML","BlackRock MuniYld Ql (MQY)",22,26,0.0174,3392,"MQY;NYSE"
"BlackRock MuniYld Ql II ","MQT","XMQTX","GML","BlackRock MuniYld Ql II (MQT)",25,29,0.0179,3407,"MQT;NYSE"
"BlackRock MuniYld Qly 3 ","MYI","XMYIX","GML","BlackRock MuniYld Qly 3 (MYI)",25,29,0.0184,3333,"MYI;NYSE"
"BlackRock MunYld Inv ","MYF","XMYFX","GML","BlackRock MunYld Inv (MYF)",22,26,0.0197,3328,"MYF;NYSE"
"BlackRock Strategic Muni ","BSD","XBSDX","GML","BlackRock Strategic Muni (BSD)",26,30,0.0208,43908,"BSD;NYSE"
"Delaware Inv Natl Muni ","VFL","XVFLX","GML","Delaware Inv Natl Muni (VFL)",24,28,0.0197,3461,"VFL;NYSE"
"Dreyfus Muni Bd Infra ","DMB","XDMBX","GML","Dreyfus Muni Bd Infra (DMB)",23,27,0.0202,203316,"DMB;NYSE"
"Dreyfus Muni Income ","DMF","XDMFX","GML","Dreyfus Muni Income (DMF)",21,25,0.0148,2912,"DMF;NYSE"
"Dreyfus Strat Muni Bond ","DSM","XDSMX","GML","Dreyfus Strat Muni Bond (DSM)",25,29,0.0128,3239,"DSM;NYSE"
"Dreyfus Strat Municipals ","LEO","XLEOX","GML","Dreyfus Strat Municipals (LEO)",26,30,0.0137,2603,"LEO;NYSE"
"DTF Tax-Free Income ","DTF","XDTFX","GML","DTF Tax-Free Income (DTF)",21,25,0.0229,3310,"DTF;NYSE"
"DWS Municipal Income Tr ","KTF","XKTFX","GML","DWS Municipal Income Tr (KTF)",25,29,0.0188,2914,"KTF;NYSE"
"Eaton Vance Mun Inc 2028 ","ETX","XETTX","GML","Eaton Vance Mun Inc 2028 (ETX)",26,30,0.0198,202797,"ETX;NYSE"
"Eaton Vance Muni Bd ","EIM","XEIMX","GML","Eaton Vance Muni Bd (EIM)",21,25,0.02,79185,"EIM;NYSE"
"Eaton Vance Muni Bd 2 ","EIV","XEIVX","GML","Eaton Vance Muni Bd 2 (EIV)",23,27,0.0214,84080,"EIV;NYSE"
"Eaton Vance Muni Inc Tr ","EVN","XEVNX","GML","Eaton Vance Muni Inc Tr (EVN)",25,29,0.0258,40312,"EVN;NYSE"
"Eaton Vance Natl Mun Opp ","EOT","XEOTX","GML","Eaton Vance Natl Mun Opp (EOT)",26,30,0.0096,173450,"EOT;NYSE"
"Eaton Vance Tx-Ad Bd&Opt ","EXD","XEXDX","GML","Eaton Vance Tx-Ad Bd&Opt (EXD)",26,30,0.0145,183502,"EXD;NYSE"
"Federated Prem Muni Inc ","FMN","XFMNX","GML","Federated Prem Muni Inc (FMN)",25,29,0.0191,84006,"FMN;NYSE"
"Invesco Adv Muni II ","VKI","XVKIX","GML","Invesco Adv Muni II (VKI)",21,25,0.0225,4351,"VKI;NYSE"
"Invesco Muni Oppty Tr ","VMO","XVMOX","GML","Invesco Muni Oppty Tr (VMO)",23,27,0.0221,3346,"VMO;NYSE"
"Invesco Municipal Trust ","VKQ","XVKQX","GML","Invesco Municipal Trust (VKQ)",25,29,0.0224,3290,"VKQ;NYSE"
"Invesco Qual Muni Inc ","IQI","XIQIX","GML","Invesco Qual Muni Inc (IQI)",23,27,0.0213,3416,"IQI;NYSE"
"Invesco Tr Inv Grd ","VGM","XVGMX","GML","Invesco Tr Inv Grd (VGM)",20,24,0.022,3324,"VGM;NYSE"
"Invesco Val Muni Inc ","IIM","XIIMX","GML","Invesco Val Muni Inc (IIM)",22,26,0.0205,3462,"IIM;NYSE"
"MainStay:MK DefTr Mun Op ","MMD","XMMDX","GML","MainStay:MK DefTr Mun Op (MMD)",26,30,0.0183,199180,"MMD;NYSE"
"MFS Inv Gr Muni Tr ","CXH","XCXHX","GML","MFS Inv Gr Muni Tr (CXH)",20,24,0.0233,3123,"CXH;NYSE"
"Mgd Dur Inv Grd Muni ","MZF","XMZFX","GML","Mgd Dur Inv Grd Muni (MZF)",22,26,0.0135,89300,"MZF;NYSE"
"Nuveen AMT-Fr Qlty Mun I ","NEA","XNEAX","GML","Nuveen AMT-Fr Qlty Mun I (NEA)",26,30,0.0194,82958,"NEA;NYSE"
"Nuveen AMT-Free Mu Cr I ","NVG","XNVGX","GML","Nuveen AMT-Free Mu Cr I (NVG)",25,29,0.0204,75942,"NVG;NYSE"
"Nuveen Enh Muni Cr Inc ","NZF","XNZFX","GML","Nuveen Enh Muni Cr Inc (NZF)",24,28,0.0277,66486,"NZF;NYSE"
"Nuveen Enh Muni Val ","NEV","XNEVX","GML","Nuveen Enh Muni Val (NEV)",21,25,0.0114,176729,"NEV;NYSE"
"Nuveen Int Dur Mun Term ","NID","XNIDX","GML","Nuveen Int Dur Mun Term (NID)",25,29,0.0132,201832,"NID;NYSE"
"Nuveen Muni Value ","NUV","XNUVX","GML","Nuveen Muni Value (NUV)",19,23,0.0052,2536,"NUV;NYSE"
"Nuveen Quality Muni Inc ","NAD","XNADX","GML","Nuveen Quality Muni Inc (NAD)",25,29,0.0195,42017,"NAD;NYSE"
"PIMCO Muni Income ","PMF","XPMFX","GML","PIMCO Muni Income (PMF)",19,23,0.0137,65642,"PMF;NYSE"
"Pimco Muni Income II ","PML","XPMLX","GML","Pimco Muni Income II (PML)",22,26,0.013,78239,"PML;NYSE"
"PIMCO Muni Income III ","PMX","XPMQX","GML","PIMCO Muni Income III (PMX)",23,27,0.0139,81383,"PMX;NYSE"
"Putnam Muni Oppty Trust ","PMO","XPMOX","GML","Putnam Muni Oppty Trust (PMO)",25,29,0.0112,876,"PMO;NYSE"
"Western Asset Mgd Muni ","MMU","XMMUX","GML","Western Asset Mgd Muni (MMU)",24,28,0.0148,3395,"MMU;NYSE"
"Western Asset Mun Prt ","MNP","XMNPX","GML","Western Asset Mun Prt (MNP)",23,27,0.0187,3455,"MNP;NYSE"
"Nuveen AMT-Fr Muni Val ","NUW","XNUWX","GIM","Nuveen AMT-Fr Muni Val (NUW)",24,28,0.0081,126972,"NUW;NYSE"
"Nuveen Muni Income ","NMI","XNMIX","GIM","Nuveen Muni Income (NMI)",20,24,0.0079,2721,"NMI;NYSE"
"Nuveen Sel Mat Muni ","NIM","XNIMX","GIM","Nuveen Sel Mat Muni (NIM)",21,25,0.0058,3409,"NIM;NYSE"
"Nuveen Sel Tx-Free Inc ","NXP","XNXPX","GIM","Nuveen Sel Tx-Free Inc (NXP)",24,28,0.0027,3332,"NXP;NYSE"
"Nuveen Sel Tx-Free Inc 2 ","NXQ","XNXQX","GIM","Nuveen Sel Tx-Free Inc 2 (NXQ)",26,30,0.0032,3347,"NXQ;NYSE"
"Nuveen Sel Tx-Free Inc 3 ","NXR","XNXRX","GIM","Nuveen Sel Tx-Free Inc 3 (NXR)",26,30,0.0033,3402,"NXR;NYSE"
"Westn Asst Mu Def Opp Tr ","MTT","XMTTX","GIM","Westn Asst Mu Def Opp Tr (MTT)",26,30,0.006,171950,"MTT;NYSE"
"BlackRock Mun Int Dur ","MUI","XMUIX","IMD","BlackRock Mun Int Dur (MUI)",23,27,0.0189,89280,"MUI;NYSE"
"BlackRock Mun NY Int Dur ","MNE","XMNEX","IMD","BlackRock Mun NY Int Dur (MNE)",26,30,0.0208,89281,"MNE;NYSE"
"BlackRock Muni 2018 ","BPK","XBPKX","IMD","BlackRock Muni 2018 (BPK)",21,25,0.0011,72747,"BPK;NYSE"
"BlackRock Muni 2020 ","BKK","XBKKX","IMD","BlackRock Muni 2020 (BKK)",21,25,0.00547,92062,"BKK;NYSE"
"Neuberger CA Intmdt Muni ","NBW","XNBWX","IMD","Neuberger CA Intmdt Muni (NBW)",26,30,0.027,79344,"NBW;NYSE"
"Neuberger Intmdt Muni ","NBH","XNBHX","IMD","Neuberger Intmdt Muni (NBH)",23,27,0.0229,80613,"NBH;NYSE"
"Neuberger NY Intmdt Muni ","NBO","XNBOX","IMD","Neuberger NY Intmdt Muni (NBO)",26,30,0.0269,79345,"NBO;NYSE"
"Nuveen Int Dur Qlty Muni ","NIQ","XNIQX","IMD","Nuveen Int Dur Qlty Muni (NIQ)",26,30,0.0128,202340,"NIQ;NYSE"
"Nuveen Muni 2021 Tgt Trm ","NHA","XNHAX","IMD","Nuveen Muni 2021 Tgt Trm (NHA)",26,30,0.0153,214748,"NHA;NYSE"
"Western Asset Int Muni ","SBI","XSBIX","IMD","Western Asset Int Muni (SBI)",24,28,0.0156,3331,"SBI;NYSE"
